wording	response
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	disapprove
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
first: pay penalty	other
